lat,lon,pop
39.2494461139,-120.0382308905,1.0
34.15625,-117.97815833,1.0
36.68625,-118.910155,1.0
34.1696177173,-117.994910544,1.0
34.15646383,-117.97796667,1.0
39.1212630915,-123.5693582693,1.0
34.15644717,-117.97802,1.0
36.168755,-118.70417833,1.0
34.15618617,-117.97814167,1.0
39.8225843776,-121.7243884818,1.0
34.15651383,-117.97811167,1.0
37.6386309721,-118.9950789072,1.0
39.17625,-119.8143383333,1.0
34.1564113435,-117.9781755945,1.0
34.1561278333,-117.9781633333,1.0
34.156475,-117.9780116667,1.0
34.1562278333,-117.97805,1.0
34.1563028333,-117.9781716667,1.0
34.1562833333,-117.9781416667,1.0
34.1565971667,-117.978005,1.0
34.1562278333,-117.9781283333,1.0
34.0486367499,-116.5689703069,1.0
34.1561778333,-117.9781416667,1.0
34.1565695,-117.9780716667,1.0
39.0214094026,-120.0941977132,1.0
34.1563083333,-117.97808,1.0
34.1560638333,-117.9783333333,1.0
34.4548071244,-118.9080800521,1.0
39.879445,-121.6100833333,1.0
40.4262356236,-121.4253024908,1.0
38.5682531127,-122.5719126583,1.0
38.4755625558,-122.57473429,1.0
38.4799826733,-122.5675563748,1.0
38.4512581345,-122.4600143303,1.0
38.5238459027,-122.5997924821,1.0
38.4649580712,-122.4482264624,1.0
38.5449750728,-122.5455479392,1.0
38.468215355,-122.5152673654,1.0
38.5437830183,-122.4890054423,1.0
38.4386129668,-122.4786651856,1.0
38.4895259932,-122.5244939321,1.0
38.45311154,-122.5173851213,1.0
38.4689972141,-122.5097631536,1.0
38.4311886905,-122.4730208303,1.0
38.4678719631,-122.5135048062,1.0
38.5586307184,-122.5819411527,1.0
34.5106083333,-119.615745,1.0
34.1733856111,-118.0058898889,1.0
34.0294464994,-116.9939982997,1.0
35.3470068409,-120.6699751129,1.0
38.4207199911,-122.4264428143,1.0
38.4384022691,-122.4099593103,1.0
37.648695824,-118.9720791578,1.0
40.3456917463,-121.2719664899,1.0
36.486128772,-118.5657516494,1.0
34.306343124,-119.196943431,1.0
35.375057138,-120.6036144726,1.0
41.27841,-122.7147583333,1.0
35.2999016374,-120.6064848347,1.0
36.415457704,-118.9290578521,1.0
34.45623,-118.9028383333,1.0
36.7351220958,-118.9918049919,1.0
35.2984836411,-120.7165517239,1.0
37.6572111974,-119.6168836819,1.0
37.7465394974,-119.5922620275,1.0
38.9361452443,-120.0635019096,1.0
34.5699555321,-118.9221850223,1.0
38.3646533333,-119.4213816667,1.0
36.7329866667,-118.9950033333,1.0
34.2238268687,-117.8512994954,1.0
34.4081538577,-118.8621007198,1.0
34.4060532928,-118.9733839623,1.0
34.5984986404,-118.8449470341,1.0
37.1524805,-119.2974083333,1.0
34.2994874632,-119.2029937484,1.0
34.4238464591,-118.8597432698,1.0
40.87962,-124.0771416667,1.0
39.3646705538,-120.0906070881,1.0
35.2849693205,-120.616691158,1.0
35.2486203629,-120.6745771709,1.0
39.5862429061,-119.7074860258,1.0
37.7704825955,-119.0355105542,1.0
37.689595,-119.0074472167,1.0
37.6902439079,-119.0077225503,1.0
35.3069452584,-120.6541866327,1.0
35.4259251617,-118.4809282769,1.0
39.0489840494,-123.5194890203,1.0
35.830692,-75.839556,1.0
43.6158333333,-72.5161666667,1.0
42.9843842052,-72.8770898711,1.0
43.6283333333,-72.5736666667,1.0
44.3151666667,-72.3205,1.0
35.588728,-82.476575,1.0
35.588728,-82.476575,1.0
41.3540283333,-77.500345,1.0
35.5978195456,-83.8596673088,1.0
43.5834488379,-72.5788395479,1.0
30.673477,-82.860311,1.0
43.6311748,-72.5175895,1.0
46.074898,-81.350616,1.0
43.631925,-72.521317,1.0
44.688576,-72.678139,1.0
35.835437,-75.853343,1.0
35.7678866667,-75.808945,1.0
44.311476,-72.877183,1.0
35.7981626622,-83.8538722803,1.0
41.340728,-74.023821,1.0
37.398955,-79.988245,1.0
45.5072866667,-85.063775,1.0
47.1897512,-65.9102658,1.0
43.171682,-72.606463,1.0
44.886344,-72.69237,1.0
29.6004522918,-82.1501785331,1.0
44.0690225533,-71.5851228888,1.0
41.9889092224,-72.9788768074,1.0
41.975698813,-72.9108319796,1.0
38.1795726675,-78.5731887817,1.0
38.1793702585,-78.5726737976,1.0
37.297375,-79.873259,1.0
35.7075917917,-76.5279920873,1.0
41.3023730359,-72.5829003256,1.0
37.0638905076,-78.585215807,1.0
41.9984841484,-72.9762779923,1.0
41.8216221284,-72.9520121861,1.0
45.8128400097,-66.7527556329,1.0
41.0874157586,-74.5742853361,1.0
45.9323043839,-80.5744315671,1.0
34.6183511538,-82.8985761969,1.0
46.007209,-80.484182,1.0
46.007336,-80.483925,1.0
46.007069,-80.483957,1.0
46.007539,-80.484391,1.0
38.5195377,-78.4310529,1.0
38.8858191246,-78.5455736798,1.0
38.8177382051,-78.5095429977,1.0
38.8637628702,-78.4694602159,1.0
48.7845581932,-86.6197729111,1.0
48.8191850582,-81.368265152,1.0
46.624024,-61.013088,1.0
30.1097221375,-85.6449966431,1.0
38.2559253849,-82.6034586477,1.0
34.4661143994,-85.5481683049,1.0
34.5809040752,-85.7368536196,1.0
30.25245,-85.5523216667,1.0
45.97629,-73.99142,1.0
43.9918265098,-72.6788520813,1.0
41.0800001601,-75.435548722,1.0
43.628905432,-72.9396169782,1.0
35.7820367,-75.8227762,1.0
35.78330157,-75.8233919,1.0
35.83686248,-75.88069685,1.0
35.80489668,-75.84014069,1.0
40.816453,-79.5219893,1.0
44.743137,-72.592763,1.0
45.5744438171,-78.6836090088,1.0
30.3813781738,-84.5322875977,1.0
41.7924094967,-73.5925336533,1.0
29.919623362,-84.3710517883,1.0
41.2235799438,-73.4441922392,1.0
46.7476773,-60.9109216,1.0
29.166923,-81.79147,1.0
35.7170306333,-83.5287514212,1.0
44.8137494064,-81.0807323456,1.0
29.9712358458,-84.3431031677,1.0
35.8011821142,-75.8044458463,1.0
48.7241666667,-87.9816666667,1.0
35.6271198487,-83.4248207987,1.0
36.0012881811,-82.1909254789,1.0
30.5541938858,-86.8642926597,1.0
30.576902675,-86.9803986306,1.0
41.9786571152,-72.8011588007,1.0
